CustomerID,p_churn,y_true,EV,eligible,rank_by_ev,selected,risk_decile,Contract,tenure_band,State,InternetService,PaymentMethod
8779-QRDMV,0.8075858056053785,1,60.758580560537865,True,593.0,False,D10,Month-to-Month,0–1y,California,Yes,Bank Withdrawal
7495-OOKFY,0.771459411432024,1,57.14594114320241,True,725.0,False,D9,Month-to-Month,0–1y,California,Yes,Credit Card
1658-BYGOY,0.5585796921068856,1,35.857969210688566,True,1489.0,False,D8,Month-to-Month,1–2y,California,Yes,Bank Withdrawal
4598-XLKNJ,0.4682312089447805,1,26.823120894478052,True,1797.0,False,D8,Month-to-Month,2–4y,California,Yes,Bank Withdrawal
4846-WHAFZ,0.5650329025339217,1,36.50329025339217,True,1478.0,False,D8,Month-to-Month,2–4y,California,Yes,Bank Withdrawal
4412-YLTKF,0.38211599438933996,1,18.211599438934,True,2112.0,False,D8,Month-to-Month,2–4y,California,Yes,Bank Withdrawal
0390-DCFDQ,0.8673339797803834,1,66.73339797803835,True,356.0,True,D10,Month-to-Month,0–1y,California,Yes,Mailed Check
3445-HXXGF,0.13786587021194022,1,-6.213412978805978,False,3393.0,False,D6,Month-to-Month,4–6y,California,Yes,Bank Withdrawal
2656-FMOKZ,0.5136356230369499,1,31.36356230369499,True,1649.0,False,D8,Month-to-Month,1–2y,California,Yes,Mailed Check
2070-FNEXE,0.4665139149808949,1,26.651391498089495,True,1804.0,False,D8,Month-to-Month,0–1y,California,Yes,Bank Withdrawal
0094-OIFMO,0.6046371116552268,1,40.46371116552268,True,1330.0,False,D9,Month-to-Month,0–1y,California,Yes,Bank Withdrawal
9947-OTFQU,0.4478026798919573,1,24.780267989195735,True,1865.0,False,D8,Month-to-Month,1–2y,California,Yes,Bank Withdrawal
9514-JDSKI,0.9551056943225611,1,75.5105694322561,True,68.0,True,D10,Month-to-Month,0–1y,California,Yes,Bank Withdrawal
7273-TEFQD,0.9105625685619094,1,71.05625685619096,True,217.0,True,D10,Month-to-Month,0–1y,California,Yes,Bank Withdrawal
3606-TWKGI,0.9187485431143134,1,71.87485431143135,True,190.0,True,D10,Month-to-Month,1–2y,California,Yes,Bank Withdrawal
4385-GZQXV,0.695313970297808,1,49.53139702978079,True,1039.0,False,D9,Month-to-Month,1–2y,California,Yes,Bank Withdrawal
